system:index,aet,date,def,pdsi,pet,pr,ro,soil,srad,swe,tmmn,tmmx,vap,vpd,vs,.geo
197607,28.6608123119274,1976-07-01,2109.285842622936,223.97758106131485,2137.9427910199774,0.0,0.0,111.17389152048413,3140.0110699537936,0.0,141.68046104520892,280.997260088624,911.3404344978596,182.8196182218978,392.60322472449025,"{""type"":""MultiPoint"",""coordinates"":[]}"
197608,19.06577892940367,1976-08-01,1868.6415279220562,203.62172187719156,1887.7633037986946,0.0,0.0,92.6839444508065,2836.099239837269,0.0,141.55960377042416,275.13407334985465,1047.8553750909998,162.88832181548977,375.55632291368215,"{""type"":""MultiPoint"",""coordinates"":[]}"
197609,98.02274891264128,1976-09-01,1302.0458071503936,224.65838824635176,1400.1046047329032,8.94642575986725,0.4040584758952594,79.76219582521122,2450.38683503082,0.0,121.22853406658429,251.53982041211515,931.4517896366431,141.36364570007512,279.5455669038155,"{""type"":""MultiPoint"",""coordinates"":[]}"
197610,411.72965827386207,1976-10-01,565.377254782414,235.7188047253788,977.0702087856206,42.38419523916448,2.1047378636081384,70.03864037145082,1859.7796295624576,0.0,100.66725475116976,221.6160973766863,913.1962895386285,107.41602733363497,226.39807126214774,"{""type"":""MultiPoint"",""coordinates"":[]}"
197611,641.7573933388711,1976-11-01,0.21863199508448816,278.7042001514154,641.9679290853481,96.24974627054038,5.440437663110575,336.3391102549081,1272.455778259672,0.0,61.47558770073348,166.73713940428323,807.4775001640348,63.395137632014965,299.328966646276,"{""type"":""MultiPoint"",""coordinates"":[]}"
197612,427.77330164279186,1976-12-01,0.0,180.36101052724243,431.6792916685853,76.31095759420317,14.307490218629122,528.4695532120023,979.4424802684658,0.019804822238587306,25.40746268230926,112.16240410683737,678.6148126654028,36.60116608911027,299.58869785538644,"{""type"":""MultiPoint"",""coordinates"":[]}"
197701,217.9178192321426,1977-01-01,0.0,106.22575000472067,248.54954370810023,113.2688692733929,53.64058568271662,617.2670254131564,1009.5455241118032,28.92380957038583,-26.3793491457288,65.31192727477233,531.1896608522502,21.539015514753192,377.17086727996366,"{""type"":""MultiPoint"",""coordinates"":[]}"
197702,514.9710582002593,1977-02-01,0.0,-106.20152225449493,520.2436516012965,81.31286380851334,56.81743528591229,617.2771221543478,1261.6766847520644,1.977463960635694,32.023871150128386,122.57880923280442,709.7735237537087,40.43453236550023,317.10747424294425,"{""type"":""MultiPoint"",""coordinates"":[]}"
197703,741.4869362780756,1977-03-01,14.018231027142752,-76.19574927250174,763.467724838399,90.03159055733795,19.19981682302051,593.1875977338971,1850.8163911608276,1.1190089315758436,26.92475561346285,125.95685179577681,633.8080737522345,48.22134337845227,262.05040640864,"{""type"":""MultiPoint"",""coordinates"":[]}"
197704,1012.7700570573725,1977-04-01,81.60444572322359,185.10730388998346,1094.9637167212288,98.29833191304606,8.474140651500901,489.4729795615835,2128.8675132149165,0.020343186499677257,52.66554768952337,167.43770413657475,680.3484124231591,73.5988106266013,343.2485573318536,"{""type"":""MultiPoint"",""coordinates"":[]}"
197705,521.8476397896146,1977-05-01,1047.7087090709692,278.1390987621967,1569.511575782542,25.84120889742374,1.0883905000647316,213.58075959760248,2560.252201445227,0.0,105.00061471064366,230.77429727026305,816.0860009397924,125.44168026162076,310.894198585092,"{""type"":""MultiPoint"",""coordinates"":[]}"
197706,83.42518265056977,1977-06-01,1833.7947722289866,261.63243197055016,1917.182306739388,1.962203106645706,0.0,150.59415716514164,3061.652291675239,0.0,137.3193741715837,268.41330942957967,887.9456406962613,169.39376190280169,337.7645969325321,"{""type"":""MultiPoint"",""coordinates"":[]}"
197707,32.77992027644456,1977-07-01,2155.9039898049023,237.23086181617154,2188.589671611383,0.0,0.0,117.85830247214203,3122.1338337145876,0.0,157.3401088710284,302.09464193750233,1009.925678154894,206.5355998971359,362.5567945767433,"{""type"":""MultiPoint"",""coordinates"":[]}"
197708,20.55718445951717,1977-08-01,2082.5949310892356,210.4475362465317,2103.184712601379,0.0,0.0,97.33368708062966,2819.2521363741926,0.0,163.3399057787822,311.63763887536055,1057.2611777149516,217.72388637865012,372.4222012020614,"{""type"":""MultiPoint"",""coordinates"":[]}"
